"6471321","三重県","熊野市","紀和町花井","74814"
"6471322","三重県","熊野市","紀和町小船","74817"
"6471325","三重県","熊野市","紀和町楊枝","74824"
"6471323","三重県","熊野市","紀和町楊枝川","74825"
"6471324","三重県","熊野市","紀和町和気","74826"
"6030000","京都府","京都市北区","","77419"
"6038136","京都府","京都市北区","出雲路神楽町","77420"
"6038134","京都府","京都市北区","出雲路立テ本町","77421"
"6038135","京都府","京都市北区","出雲路俵町","77422"
"6038133","京都府","京都市北区","出雲路松ノ下町","77423"
"6038481","京都府","京都市北区","大北山鏡石町","77424"
"6038482","京都府","京都市北区","大北山天神岡町","77425"
"6038483","京都府","京都市北区","大北山蓮ケ谷町","77426"
"6038488","京都府","京都市北区","大北山長谷町","77427"
"6038487","京都府","京都市北区","大北山原谷乾町","77428"
"6038457","京都府","京都市北区","大北山不動山町","77429"
"6038477","京都府","京都市北区","大宮一ノ井町","77430"
"6038401","京都府","京都市北区","大宮上ノ岸町","77431"
"6038408","京都府","京都市北区","大宮北椿原町","77432"
"6038831","京都府","京都市北区","大宮北ノ岸町","77433"
"6038475","京都府","京都市北区","大宮北箱ノ井町","77434"
"6038407","京都府","京都市北区","大宮北林町","77435"
"6038472","京都府","京都市北区","大宮北山ノ前町","77436"
"6038461","京都府","京都市北区","大宮玄琢北東町","77437"
"6038462","京都府","京都市北区","大宮玄琢北町","77438"
"6038463","京都府","京都市北区","大宮玄琢南町","77439"
"6038478","京都府","京都市北区","大宮釈迦谷","77440"
"6038838","京都府","京都市北区","大宮田尻町","77441"
"6038441","京都府","京都市北区","大宮土居町","77442"
"6038834","京都府","京都市北区","大宮中総門口町","77443"
"6038837","京都府","京都市北区","大宮中ノ社町","77444"
"6038404","京都府","京都市北区","大宮中林町","77445"
"6038405","京都府","京都市北区","大宮西小野堀町","77446"
"6038835","京都府","京都市北区","大宮西総門口町","77447"
"6038444","京都府","京都市北区","大宮西野山町","77448"
"6038471","京都府","京都市北区","大宮西山ノ前町","77449"
"6038432","京都府","京都市北区","大宮西脇台町","77450"
"6038406","京都府","京都市北区","大宮東小野堀町","77451"
"6038833","京都府","京都市北区","大宮東総門口町","77452"
"6038431","京都府","京都市北区","大宮東脇台町","77453"
"6038437","京都府","京都市北区","大宮開町","77454"
"6038832","京都府","京都市北区","大宮南田尻町","77455"
"6038402","京都府","京都市北区","大宮南椿原町","77456"
"6038476","京都府","京都市北区","大宮南箱ノ井町","77457"
"6038403","京都府","京都市北区","大宮南林町","77458"
"6038473","京都府","京都市北区","大宮南山ノ前町","77459"
"6038479","京都府","京都市北区","大宮薬師山西町","77460"
"6038474","京都府","京都市北区","大宮薬師山東町","77461"
"6010142","京都府","京都市北区","大森芦堂町","77462"
"6010141","京都府","京都市北区","大森稲荷","77463"
"6010143","京都府","京都市北区","大森中町","77464"
"6010144","京都府","京都市北区","大森西町","77465"
"6010145","京都府","京都市北区","大森東町","77466"
"6010134","京都府","京都市北区","小野岩戸","77467"
"6010133","京都府","京都市北区","小野上ノ町","77468"
